Date,Text,Normalized_Text_NLTK,Normalized_Text_Slang
10/2023,Ini di semua point coffee seindo nder?,ini di semua point coffee seindo nder,ini di semua point coffee seindo nder
10/2023,"Happy birtdyay nderr Btw kdr gada point coffee, lg tutup",happy birtdyay nderr btw kdr gada point coffee lg tutup,bahagia birtdyay nderr ngomong-ngomong kdr gada point coffee lagi tutup
10/2023,"yess aku udah nuker. sayangnya mbak point coffee kurang ramah. mukanya jutek bgt lg ultah, bukannya seneng malah makin sedihh huu anw haply birthday sender",yess aku udah nuker sayangnya mbak point coffee kurang ramah mukanya jutek bgt lg ultah bukannya seneng malah makin sedihh huu anw haply birthday sender,yess aku sudah nuker sayangnya mbak point coffee kurang ramah mukanya galak banget lagi ulang tahun bukannya seneng bahkan makin sedihh huu anw haply birthday sender
10/2023,hah point coffee punya cake juga????,hah point coffee punya cake juga,hah point coffee punya cake juga
10/2023,"Iyaaahhh aku beberapa bulan lalu pas ultah dapet doong hihi Jangan lupa klaim di app poinku BTW Point Coffee Surabaya gada cakenya ya? Belom nemu selama ini. Aku pernah makan di PC Bali, enak cakenyaaaa murcidah lagi.",iyaaahhh aku beberapa bulan lalu pas ultah dapet doong hihi jangan lupa klaim di app poinku btw point coffee surabaya gada cakenya ya belom nemu selama ini aku pernah makan di pc bali enak cakenyaaaa murcidah lagi,iyaaahhh aku beberapa bulan lalu pas ulang tahun dapat doong hihi jangan lupa klaim di app poinku ngomong-ngomong point coffee surabaya gada cakenya iya belum nemu selama ini aku pernah makan di pc bali enak cakenyaaaa murcidah lagi
10/2023,iya sumpah tomoro sering bgt ngasih promo kalo di kantor suka beli lewat app lalu diambilin ob di kantor huhu my lifesaver,iya sumpah tomoro sering bgt ngasih promo kalo di kantor suka beli lewat app lalu diambilin ob di kantor huhu my lifesaver,iya sumpah tomoro sering banget memberikan promo kalau di kantor suka beli lewat app lalu diambilin ob di kantor huhu my lifesaver
10/2023,hah point coffee ada cake? kutau pastry ajaaaa aaaa mauu,hah point coffee ada cake kutau pastry ajaaaa aaaa mauu,hah point coffee ada cake kutau pastry ajaaaa aaaa mauu
10/2023,"Buka di kudus juga dong. Demak, pati, rembang ada point coffee masa kudus kelewatan @pointcoffeeid",buka di kudus juga dong demak pati rembang ada point coffee masa kudus kelewatan ,buka di kudus juga dong demak pati rembang ada point coffee masa kudus kelewatan
10/2023,"Baru tau point coffee jual cake jugaa, keliatannya enakk btw hbd senderr",baru tau point coffee jual cake jugaa keliatannya enakk btw hbd senderr,baru tahu point coffee jual cake jugaa keliatannya enakk ngomong-ngomong selamat ulang tahun senderr
10/2023,boleh ga kalo kek gitu di tiap point coffee? lumayan ada banyak cabang di sini,boleh ga kalo kek gitu di tiap point coffee lumayan ada banyak cabang di sini,boleh tidak kalau seperti gitu di tiap point coffee lumayan ada banyak cabang di sini
